hidden nodes: 800, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97920]
hidden nodes: 800, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.97280]
hidden nodes: 800, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97280]
hidden nodes: 800, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97250]
hidden nodes: 800, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.97220]
hidden nodes: 800, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.97180]
hidden nodes: 800, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95460]
hidden nodes: 800, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.95220]
hidden nodes: 800, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.95140]
hidden nodes: 800, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.95180]
hidden nodes: 800, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.95170]
hidden nodes: 800, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92850]
hidden nodes: 800, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92820]
hidden nodes: 800, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92780]
hidden nodes: 800, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92760]
hidden nodes: 800, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92750]
hidden nodes: 900, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.98260]
hidden nodes: 900, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98350]
hidden nodes: 900, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98580]
hidden nodes: 900, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98460]
hidden nodes: 900, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98240]
hidden nodes: 900, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.98220]
hidden nodes: 900, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.98220]
hidden nodes: 900, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.98250]
hidden nodes: 900, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.98110]
